x0,x1,y
3.6177995,4.2976875,1.0
-2.2821743,-3.071144,0.0
3.3694427,0.9871969,1.0
3.681392,2.037192,1.0
-2.5999832,-2.6032166,0.0
4.1008477,3.194623,1.0
-3.2413566,-2.086188,0.0
-2.7585547,-3.203519,0.0
1.2463531,1.8113916,1.0
0.5684564,3.250192,1.0
0.8835771,4.6699085,1.0
-2.4446318,-3.3472772,0.0
2.0490625,5.498613,1.0
-2.87047,-2.998049,0.0
-2.171123,-3.4284225,0.0
4.2309885,3.615562,1.0
-2.754297,-1.5556496,0.0
2.877603,4.98991,1.0
3.662892,5.833622,1.0
3.3293543,3.9143856,1.0
4.2062573,2.840485,1.0
3.825172,1.5444318,1.0
0.9901936,2.9884777,1.0
2.858593,2.085371,1.0
3.2198772,4.8069134,1.0
4.7525854,3.6399536,1.0
-2.6850688,-3.0737329,0.0
3.1162908,4.094716,1.0
-2.6547296,-1.8876909,0.0
-2.9102702,-4.713309,0.0
-2.6874883,-3.0431056,0.0
-3.5648534,-3.5034275,0.0
3.1849878,4.5886755,1.0
-4.8146896,-2.710522,0.0
-1.9579167,-3.6948972,0.0
5.949075,1.8066378,1.0
-3.3884232,-3.0986931,0.0
-3.0174317,-1.8034736,0.0
5.2304926,2.7211778,1.0
-2.6526759,-2.8549562,0.0
-3.0450494,-3.6871226,0.0
-4.7539315,-1.7270888,0.0
-2.64398,-1.2831992,0.0
-2.5474799,-3.970564,0.0
-3.6721613,-2.814711,0.0
-2.8843741,-3.00842,0.0
2.7551844,4.8428082,1.0
2.3861701,2.4702392,1.0
2.2051923,4.582321,1.0
1.9919152,2.2156498,1.0
-3.0513163,-3.5818248,0.0
4.411526,3.953592,1.0
3.3342807,3.942846,1.0
-2.9579582,-2.6971803,0.0
2.587331,4.253539,1.0
2.1435337,1.9405639,1.0
-3.413544,-3.4757712,0.0
-2.71441,-2.4142737,0.0
-2.7771962,-2.919326,0.0
4.054267,0.43744707,1.0
-2.8898206,-2.9167426,0.0
-3.4027975,-3.1533747,0.0
3.020763,3.3192754,1.0
2.8165884,4.5166283,1.0
-3.1400402,-3.8749514,0.0
-4.5922556,-2.9762497,0.0
-3.4239643,-2.2972639,0.0
5.582597,2.0246131,1.0
1.4631662,3.30407,1.0
4.551029,2.8068986,1.0
-2.8129768,-1.2659603,0.0
-2.7213948,-2.3357444,0.0
-2.852101,-2.3569417,0.0
2.8006845,3.1028264,1.0
4.743005,0.69541097,1.0
3.142911,4.5929713,1.0
-2.2386374,-2.6244068,0.0
-3.0121386,-2.3469262,0.0
-4.6573453,-2.930596,0.0
5.079033,4.3485284,1.0
3.2920215,2.2796583,1.0
-2.823005,-2.5171938,0.0
-2.8027093,-2.2162888,0.0
-3.2674055,-2.8725858,0.0
-2.699921,-3.638954,0.0
-3.7788012,-3.0950813,0.0
-2.4956636,-3.4422224,0.0
1.785681,6.0602274,1.0
2.4112034,5.180317,1.0
3.4706953,6.41634,1.0
2.815059,3.7401164,1.0
-2.3141546,-1.7885975,0.0
-2.5443215,-2.1920881,0.0
-2.2734108,-1.9710356,0.0
-3.6122785,-1.611911,0.0
3.0029807,1.7447306,1.0
2.8906426,0.7482543,1.0
4.523077,0.73677087,1.0
-4.421366,-3.5957007,0.0
0.48863077,4.5758176,1.0
-2.4566689,-3.5578272,0.0
-2.5721953,-2.927149,0.0
1.5903627,3.0738108,1.0
-3.2751942,-2.4860795,0.0
-3.4557066,-3.5645247,0.0
-4.096391,-2.3009858,0.0
-2.2173972,-3.1806035,0.0
2.2265108,0.8526869,1.0
1.4490614,2.8658404,1.0
1.6932532,4.0756726,1.0
5.269291,4.3602304,1.0
4.612897,2.9585514,1.0
-3.0850158,-3.1572578,0.0
3.6916816,4.006089,1.0
6.132567,3.095306,1.0
-4.7724743,-4.5876265,0.0
-2.6979957,-3.0185893,0.0
-2.0462093,-2.9434583,0.0
-3.5923629,-3.197711,0.0
5.250202,1.0505835,1.0
2.1673543,4.3594275,1.0
-3.0826015,-2.1014028,0.0
-2.7437186,-2.5244722,0.0
-1.9332983,-3.0844522,0.0
-2.683848,-3.8332677,0.0
-2.9769075,-1.464627,0.0
-2.5026963,-2.7984486,0.0
-1.8900201,-2.2438905,0.0
0.85465,0.6906967,1.0
0.37199306,1.8607339,1.0
4.597817,3.7078056,1.0
-2.3471932,-3.9267998,0.0
2.8912103,0.108971596,1.0
-3.481596,-3.382856,0.0
-2.8112192,-2.0704765,0.0
-3.0785632,-1.8483601,0.0
2.2803695,1.9041883,1.0
-2.4745028,-3.4818797,0.0
-2.6942089,-3.9765213,0.0
1.7051466,5.0282393,1.0
1.1200581,6.499442,1.0
0.45410466,1.6218563,1.0
5.9706964,4.991266,1.0
-2.683061,-2.4238787,0.0
2.9723065,5.4667068,1.0
-3.3198466,-3.6917043,0.0
4.3698483,2.5984302,1.0
-3.9505754,-3.2779186,0.0
-2.543562,-2.7891135,0.0
-2.7585104,-1.671138,0.0
0.65145206,4.372925,1.0
2.5502977,3.6861458,1.0
-3.4674225,-2.769671,0.0
2.7806513,3.5389037,1.0
3.6585088,2.6228082,1.0
-4.3123,-2.556878,0.0
1.9254632,5.115901,1.0
2.6231928,3.055378,1.0
-0.4176662,4.830358,1.0
-1.8991612,-3.202253,0.0
1.3693376,1.930687,1.0
-3.0497158,-2.781546,0.0
-2.3075733,-2.9362035,0.0
3.776067,3.948533,1.0
1.0434833,0.16646194,1.0
4.690156,0.8129864,1.0
3.3315473,5.8284235,1.0
-3.1043818,-1.678578,0.0
4.566442,4.6665497,1.0
-4.5985365,-1.963396,0.0
-2.4993834,-2.9958704,0.0
3.4683406,2.8431218,1.0
4.4157796,0.7404201,1.0
6.736192,3.6128135,1.0
-2.6845078,-2.8717172,0.0
-3.3254855,-4.3820343,0.0
-2.2355828,-3.100145,0.0
-1.1771717,3.8115156,1.0
3.3463366,2.051896,1.0
4.3815527,2.6535246,1.0
3.5869665,4.3685045,1.0
-3.9227989,-2.6750283,0.0
2.512382,3.6030042,1.0
1.1678121,2.6113756,1.0
-4.158618,-3.7327037,0.0
-3.0010915,-2.5494301,0.0
4.3099093,3.7152257,1.0
3.8716435,3.4324665,1.0
3.097952,-0.5461943,1.0
-2.6838436,-2.868141,0.0
2.623396,5.1791134,1.0
-3.0245628,-2.5763855,0.0
5.6180525,3.4150593,1.0
1.3421829,5.596093,1.0
-1.7307754,-3.6096652,0.0
1.511052,2.8526363,1.0
-3.3271453,-2.1259277,0.0
3.7664335,0.7194421,1.0
-3.493295,-2.6905892,0.0
-3.4980915,-2.3585374,0.0
