index,x0,x1,x2,y2,y3,,,,
1,-0.107999332,-0.494265846,0.083576739,-2.048265512,0.326867167,Y2=0.5*X0+X1-1.5,,,Y3=0.6*x0*x0+0.9*X1*X1+0.1
2,0.430622773,-0.330071977,0.373922495,-1.614760591,0.309314343,,,,
3,0.157210806,-0.447039547,0.393084715,-1.868434144,0.294689063,,,,
4,-0.189015188,0.115070902,0.407367103,-1.479436692,0.133353226,,,,
5,-0.085436059,-0.45145522,-0.228726916,-1.99417325,0.287810226,,,,
6,0.273061715,-0.418000684,-0.481208339,-1.781469827,0.301989735,,,,
7,0.417092516,-0.141279822,0.139926605,-1.432733564,0.222343689,,,,
8,-0.442296483,0.20171701,0.233871075,-1.519431232,0.253996484,,,,
9,-0.351774188,-0.196272847,0.202470594,-1.872159941,0.208917775,,,,
10,0.25138439,0.151105145,0.45783013,-1.22320266,0.158465955,,,,
11,0.385145204,-0.092413188,-0.25481001,-1.399840586,0.196688274,,,,
12,0.318139273,-0.030084608,0.367799265,-1.371014972,0.161542133,,,,
13,-0.011343709,0.284236659,0.38985596,-1.221435196,0.172788638,,,,
14,0.079275351,0.158834144,-0.193023932,-1.301528181,0.126476206,,,,
15,0.333246553,-0.195365329,0.154715394,-1.528742053,0.20098281,,,,
16,-0.039606266,-0.195804053,-0.04884421,-1.715607186,0.135446498,,,,
17,-0.430586127,0.226662321,-0.332292159,-1.488630743,0.257480875,,,,
18,-0.423632301,0.332971697,-0.092743014,-1.378844454,0.307461732,,,,
19,0.373647165,0.131861909,0.280567618,-1.181314509,0.199416129,,,,
20,0.102010811,0.356972421,-0.082497207,-1.092022174,0.220930102,,,,
21,0.342570102,-0.244239784,0.344989646,-1.572954733,0.22410033,,,,
22,-0.164657512,-0.182962807,-0.222194776,-1.765291563,0.146395108,,,,
23,-0.288969806,0.119097409,-0.213034425,-1.525387494,0.162867903,,,,
24,0.315771326,0.322835008,-0.059133262,-1.019279329,0.253627116,,,,
25,0.236582093,0.110432599,0.384198036,-1.271276355,0.144558475,,,,
26,0.490858023,0.002805123,0.246066159,-1.251765866,0.244572041,,,,
27,0.438620906,0.145612931,0.360528705,-1.135076616,0.234515793,,,,
28,0.159418009,0.209996835,-0.371359758,-1.210294161,0.154937265,,,,
29,-0.221316082,-0.378352067,-0.043603212,-1.989010108,0.258223743,,,,
30,0.00742012,-0.152924445,0.076871718,-1.649214385,0.121080332,,,,
31,0.388706844,0.480079156,-0.042849242,-0.825567422,0.398084203,,,,
32,0.266144036,0.184462024,0.24479457,-1.182465958,0.173123203,,,,
33,0.36867483,0.107671889,0.272320924,-1.207990696,0.19198659,,,,
34,-0.206525091,-0.279104579,0.332920615,-1.882367125,0.195700997,,,,
35,-0.475853748,-0.19732224,-0.216386971,-1.935249114,0.270904533,,,,
36,-0.379773343,0.383696672,0.19725925,-1.30619,0.319037498,,,,
37,0.43836948,0.068548266,0.485978641,-1.212266994,0.219529659,,,,
38,-0.415119627,0.391935332,0.324205903,-1.315624482,0.341646557,,,,
39,-0.132178253,-0.202523796,-0.229470253,-1.768612923,0.147396953,,,,
40,0.432114184,0.460918489,0.360916887,-0.823024419,0.403234869,,,,
41,-0.062128545,-0.192532051,0.11209292,-1.723596324,0.135677705,,,,
42,-0.310202578,-0.289343815,-0.047204565,-1.944445104,0.233083243,,,,
43,0.091945311,0.483475375,-0.01704217,-0.97055197,0.315445959,,,,
44,-0.352525901,0.403387369,0.27668652,-1.272875582,0.321013939,,,,
45,-0.002020469,0.073259176,-0.030605156,-1.427751059,0.104832666,,,,
46,0.040656787,0.225501667,-0.072411066,-1.25416994,0.146757686,,,,
47,0.079548704,-0.11619214,0.309506777,-1.576417788,0.11594735,,,,
48,0.176361008,-0.439778481,-0.167139261,-1.851597977,0.292726524,,,,
49,0.49089446,0.318276459,-0.332760453,-0.936276311,0.335756336,,,,
50,-0.456221542,0.389234255,0.451694909,-1.338876516,0.361235832,,,,
51,-0.472076458,0.468400586,0.482932284,-1.267637643,0.431172907,,,,
52,-0.38692757,0.156068019,-0.405481005,-1.537395766,0.211749271,,,,
53,0.34691311,-0.200324159,-0.127806716,-1.526867604,0.208326015,,,,
54,0.140729558,0.277034612,0.240810136,-1.152600609,0.180956244,,,,
55,-0.149321377,-0.307722421,-0.289760762,-1.88238311,0.198601904,,,,
